File Name,Relative Path,Extension,Size (Bytes),Lines of Code
.env.local,.env.local,.local,1208,18
.eslintignore,.eslintignore,,40,4
.gitignore,.gitignore,,491,44
AGENTS.md,AGENTS.md,.md,327,6
architecture.md,architecture.md,.md,9061,108
build-plan.md,build-plan.md,.md,5758,88
CLAUDE.md,CLAUDE.md,.md,11,2
code-standards.md,code-standards.md,.md,3452,63
components.json,components.json,.json,521,26
eslint.config.mjs,eslint.config.mjs,.mjs,492,20
fix-images.js,fix-images.js,.js,1824,53
format-fix.js,format-fix.js,.js,3491,61
next-env.d.ts,next-env.d.ts,.ts,251,7
next.config.ts,next.config.ts,.ts,236,15
package-lock.json,package-lock.json,.json,449065,12523
package.json,package.json,.json,1168,47
postcss.config.mjs,postcss.config.mjs,.mjs,94,8
progress-tracker.md,progress-tracker.md,.md,5883,103
project-decisions.md,project-decisions.md,.md,3881,61
project-overview.md,project-overview.md,.md,4310,60
file.svg,public/file.svg,.svg,391,Binary
globe.svg,public/globe.svg,.svg,1035,Binary
mehndi_arabic.png,public/images/mehndi_arabic.png,.png,863069,Binary
mehndi_bridal.png,public/images/mehndi_bridal.png,.png,1071676,Binary
mehndi_minimalist.png,public/images/mehndi_minimalist.png,.png,844671,Binary
pakistani_bride_makeup.png,public/images/pakistani_bride_makeup.png,.png,1027185,Binary
pakistani_mehndi_hands.png,public/images/pakistani_mehndi_hands.png,.png,966418,Binary
pakistani_wedding_couple.png,public/images/pakistani_wedding_couple.png,.png,1219711,Binary
pakistani_wedding_venue.png,public/images/pakistani_wedding_venue.png,.png,1200055,Binary
next.svg,public/next.svg,.svg,1375,Binary
vercel.svg,public/vercel.svg,.svg,128,Binary
window.svg,public/window.svg,.svg,385,Binary
README.md,README.md,.md,1450,37
recovery-guide.md,recovery-guide.md,.md,4434,65
review-rules.md,review-rules.md,.md,4210,63
generate-project-csv.js,scripts/generate-project-csv.js,.js,2353,93
test-supabase.mjs,scripts/test-supabase.mjs,.mjs,514,15
layout.tsx,src/app/(auth)/layout.tsx,.tsx,421,17
page.tsx,src/app/(auth)/login/page.tsx,.tsx,109,6
page.tsx,src/app/(auth)/signup/page.tsx,.tsx,110,6
page.tsx,src/app/ai-planner/page.tsx,.tsx,195,10
route.ts,src/app/api/onboarding/route.ts,.ts,3956,125
route.ts,src/app/api/pipeline-data/route.ts,.ts,1099,38
route.ts,src/app/api/send-email/route.ts,.ts,889,34
route.ts,src/app/api/webhooks/whatsapp/route.ts,.ts,4842,134
page.tsx,src/app/business/page.tsx,.tsx,629,19
page.tsx,src/app/caterers/page.tsx,.tsx,1255,35
ClientProviders.tsx,src/app/components/ClientProviders.tsx,.tsx,797,27
